Course,Type,Sub-topics,Description,Link 
Artificial Intelligence,Software,Adversarial Robustness Toolbox,"Security and privacy of our AI training data and models is one of the key pillars for building trust in AI. As machine learning and AI models grow with increasing sophistication and accuracy, they are making their way into more and more applications and processes that govern our daily lives. Our increased reliance on these models and the value they represent as an accumulation of confidential and proprietary knowledge, are at increasing risk for attack. Further, these models pose unique security risks that must be accounted for and mitigated. The Adversarial Robustness Toolbox is here to help. The Adversarial Robustness Toolbox (ART) is a Python library for machine learning security. ART provides tools that enable developers and researchers to evaluate and defend machine learning models and applications against the adversarial threats of evasion, poisoning, extraction, and inference. ART supports all popular machine learning frameworks (TensorFlow, Keras, PyTorch, MXNet, scikit-learn, XGBoost, LightGBM, CatBoost, GPy, etc.), all data types (images, tables, audio, video, etc.) and machine learning tasks (classification, object detection, speech recognition, generation, certification, etc.). The pages here present an introduction to the threat landscape and how ART is working towards a more secure, private, and robust AI / ML ecosystem. We have provided interactive demonstrations to illustrate evasion (demo 1), (demo 2), and poisoning attacks. You will also find tutorials and other notebooks offering more comprehensive, technical, and hands-on demonstrations geared towards the machine learning practitioner. The API documentation is also available.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=de4c4850-f710-4743-a3cb-9bc4651d6030 
Artificial Intelligence,Software,Causal Inference 360,"Our goal is to help guide data scientists who wish to move beyond observing differences (descriptive statistics) to quantifying cause-and-effect relationships in data. We also want to make it easy for ML practitioners who are shifting from solving prediction problems to asking what-if questions for decision-making support. This open source Python toolkit is designed to bring long-standing machine-learning methodologies to the field of causal inference. We offer a set of established causal inference methods, along with some new ones, that can help you train causal models. It also includes a set of evaluation methods that let you select the correct method from the toolkit, choose the correct underlying model, and perform parameter tuning. Our unique contribution lies not only in combining multiple causal inference models into one package, but also in adapting well-established machine-learning validation methodology to the context of causal inference, and adding a few causal-specific ones. The combination of multiple methods and the means to evaluate them is your key to building strong causal inference models that can be tested for reliability, consistency, and robustness. Using our toolkit, you can now easily train causal models that estimate the effect of an intervention on an outcome. The models you use can be as complex or as simple as your problem and your data requires. We invite you to use the toolkit and to help us improve it.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=101e94db-f180-49b1-a98b-90bd15245042 
Artificial Intelligence,Software,Trustworthy Generation 360,"A collection of platforms and tools that can help you to synthesize novel and useful data for different modalities and applications, and evaluation thereof, using generative ML models throughout the AI application lifecycle. We invite you to use and improve them.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=06b28621-e099-443b-9c82-90632cf74054 
Artificial Intelligence,Software,IBM Analog Hardware Acceleration Kit,"IBM Analog Hardware Acceleration Kit is an open source Python toolkit for exploring and using the capabilities of in-memory computing devices in the context of AI. A library of device presets that are calibrated to real hardware data and based on models in the literature, along with configuration that specifies a particular device and optimizer choice. A module for executing high-level use cases (""experiments""), such as neural network training with minimal code overhead. A utility to automatically convert a downloaded model (e.g., pre-trained) to its equivalent Analog model by replacing all linear/conv layers to Analog layers (e.g., for convenient hardware-aware training). Integration with the AIHW Composer platform, a no-code web experience, that allows executing experiments in the cloud.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=7bde7ace-f7eb-4aba-9b38-b3ee01568784 
Artificial Intelligence,Software,Uncertainty Quantification 360,"Uncertainty quantification gives AI the ability to express that it is unsure, adding critical transparency for the safe deployment and use of AI. This open source toolkit can help you estimate, communicate and use uncertainty in machine learning model predictions through an AI application lifecycle.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=5fb682be-883a-499b-bd8e-d261210e4ae2 
Capstone,Courseware,Getting Started with Enterprise-grade AI,"This course covers the foundations of AI for business, including the following topics: AI Evolution, AI Industry Adoption Trends, NLP and Virtual Agents.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=256c0f15-a1f2-4b9e-b672-63f4d8b20018 
Capstone,Courseware,Getting Started with Enterprise Data Science,"This course provides a basic understanding of the foundations of Data Science including: Data Science Team Roles, Data Analysis Tools, and real-world use cases for the application of the Data Science method..This course has the following learning objectives Understand the relevance of Data science projects in supporting the digital transformation of business across multiple industries. Acquire a data science cross-disciplinary skillset found at the intersection of statistics, computer programming, and domain expertise. Get acquainted with the following roles of a Data Science team: Data scientist, Data engineer, Data analyst, and Business Liaison. Access Data science collaboration platforms in the cloud, including IBM Watson Studio and Data Refinery. Experience with data ingestion and manipulation using a CSV dataset. Explore a real-world data science industry case study focused on an insurance company, and perform the tasks of a Data Analyst in a simulated hand-on scenario.",https://www.ibm.com/academic/topic/capstone?ach_id=8d72f699-26ac-4542-a701-6b69f50e6b5f 
Capstone,Courseware,Getting Started with Threat Intelligence and Hunting,This course has the following learning objectives Understand the taxonomy of cybersecurity attacks. Analyze top targeted industries and security trends Determine what steps you can take to protect your organization against these threats. Leverage high-end security enterprise solutions in high demand such as IBM Cloud X-Force Exchange.,https://www.ibm.com/academic/topic/capstone?ach_id=3f13c64c-c7ca-45d8-bce1-f05711460f09 
Capstone,Courseware,Getting Started with Cloud for the Enterprise,"Identify the consumer massive adoption of cloud computer applications through mobile devices Validate the different cloud deployment models for enterprise adoption including: Public, Private and Hybrid cloud approaches, and cloud adoption pathways leveraging IaaS, PaaS, SaaS and BPaaS. Explore how digital transformation cloud adoption patterns for the following industries: Banking, Education, Government, Healthcare, Travel, Media & Entertainment and Automotive Understand the drivers behind the API economy and the benefits of cloud for the enterprise culture of agile business innovation. Understand the roles involved in the adoption and consumption of API services through the cloud Explore an existing Public Cloud platform, and the service types and taxonomies that are provided for the enterprise cloud adoption. Gain hands-on experience deploying a cloud application to address the need for business innovation during a pandemic.",https://www.ibm.com/academic/topic/capstone?ach_id=b9de26db-b689-4894-bcad-5aa28deec936 
Data Science,Courseware,OpenDS4All,"OpenDS4All is a project created to accelerate the creation of data science curricula at academic institutions. While a great deal of online material is available for data science, including online courses, we recognize that the best way for many students to learn (and for many institutions to deliver) content is through a combination of lectures, recitation or flipped classroom activities, and hands-on assignments.OpenDS4All attempts to fill this important niche. Our goal is to provide recommendations, slide sets, sample Jupyter notebooks, and other materials for creating, customizing, and delivering data science and data engineering education. The project hosts educational modules that may be used as building blocks for a data science curriculum.",https://github.com/odpi/OpenDS4All/tree/master/opends4all-resources
Data Science,Courseware,Getting Started with Enterprise Data Science,"This course provides a basic understanding of the foundations of Data Science including: Data Science Team Roles, Data Analysis Tools, and real-world use cases for the application of the Data Science method..This course has the following learning objectives Understand the relevance of Data science projects in supporting the digital transformation of business across multiple industries. Acquire a data science cross-disciplinary skillset found at the intersection of statistics, computer programming, and domain expertise. Get acquainted with the following roles of a Data Science team: Data scientist, Data engineer, Data analyst, and Business Liaison. Access Data science collaboration platforms in the cloud, including IBM Watson Studio and Data Refinery. Experience with data ingestion and manipulation using a CSV dataset. Explore a real-world data science industry case study focused on an insurance company, and perform the tasks of a Data Analyst in a simulated hand-on scenario.",https://www.ibm.com/academic/topic/capstone?ach_id=8d72f699-26ac-4542-a701-6b69f50e6b5f 
Data Science,Courseware,Constraint Programming with ILOG CP Optimizer,"Fundamentals of constraint programming (CP). CP is demonstrated through the use of ILOG CP Optimizer via ILOG OPL-CPLEX/ILOG Analyst Studio, a complete integrated development environment which leverages the powerful and intuitive algebraic modeling language, Optimization Programming Language.",https://www.ibm.com/academic/topic/data-science?ach_id=520052ab-1ee5-48c5-8f8f-a614a0971bb5 
Data Science,Courseware,Overview of IBM Cognos Analytics,This course provides participants with a high level overview of the IBM Cognos Analytics suite of products and their underlying architecture. They will examine each component as it relates to an Analytics solution. Participants will be shown a range of resources to provide additional information.,https://www.ibm.com/academic/topic/data-science?ach_id=fcce46b0-df00-4abc-9b02-cefc3c52ef08 
Data Science,Courseware,IBM Planning Analytics - Design and Develop Models in Planning Analytics Workspace,"This course is designed to teach modelers how to build a complete model in IBM Planning Analytics. Through a series of lectures and hands-on exercises, students will learn how to set up dimensions and cubes, manually enter data into these structures, and define the data that users can see.",https://www.ibm.com/academic/topic/data-science?ach_id=94366672-0dd3-4ac6-bf44-9a0d78c43926 
Data Science,Courseware,IBM Planning Analytics - Analyze Data and Create Reports,"This course is designed to teach analysts how to use IBM Planning Analytics to analyze data to discover trends and exceptions, create and customize reports and templates, and contribute data to plans.",https://www.ibm.com/academic/topic/data-science?ach_id=202b1758-c742-45c3-a8d2-d227bc01c6b8 
Data Science,Courseware,IBM Cognos Framework Manager - Design Metadata Models,"This course provides an introduction to advanced knowledge of metadata modeling concepts, and how to model metadata for predictable reporting and analysis results using IBM Cognos Framework Manager.",https://www.ibm.com/academic/topic/data-science?ach_id=c6009472-5471-4d40-a3d4-c68fde05ceb4 
Data Science,Courseware,IBM Cognos Analytics - Author Reports Fundamentals,"This course provides authors with an introduction to build reports using Cognos Analytics. Techniques to enhance, customize, and manage reports will be explored. Activities will illustrate and reinforce key concepts during this learning opportunity.",https://www.ibm.com/academic/topic/data-science?ach_id=72ba50d6-da72-407e-a8f8-1a0c1e3c972f 
Data Science,Courseware,IBM Cognos Analytics - Author Reports with Multidimensional Data,"Through interactive demonstrations and exercises, participants will learn how to author reports that navigate and manipulate dimensional data structures using the specific dimensional functions and features available in IBM Cognos Analytics.",https://www.ibm.com/academic/topic/data-science?ach_id=0fd39d43-923f-4c81-9d04-3eb642192833 
Data Science,Courseware,IBM Cognos Analytics - Architecture and Logging,"Through lecture and interactive exercises participants will identify IBM Cognos Analytics components, examine how these components interact with Java, and will explore logging to assist when troubleshooting issues.",https://www.ibm.com/academic/topic/data-science?ach_id=cb5cf932-60fd-4bbd-9951-1bc8c0900e78 
Data Science,Software,ILOG CPLEX Optimization Studio,"Analytical decision support toolkit for rapid development and deployment of optimization models using mathematical and constraint programming. It combines an integrated development environment with the powerful Optimization Programming Language and high-performance CPLEX and CP Optimizer solvers. IBM® ILOG® CPLEX® Optimization Studio uses decision optimization technology to optimize your business decisions, develop and deploy optimization models quickly, and create real-world applications that can significantly improve business outcomes. How? IBM ILOG CPLEX Optimization Studio is a prescriptive analytics solution that enables rapid development and deployment of decision optimization models using mathematical and constraint programming.",https://www.ibm.com/academic/topic/data-science?ach_id=6fe17098-43df-4a9d-8412-3377286841a3 
Data Science,Software,SPSS Modeler Premium,"SPSS Modeler provides an intuitive graphical interface to help visualize each step in the data mining process. Automatically transforms data into the best format for the most accurate predictive modeling. Explore geographic data such as latitude and longitude, postal codes and addresses using SPSS. SPSS Modeler is a leading visual data science and ML (ML) solution designed to help enterprises accelerate time to value by speeding up operational tasks for data scientists. Organizations worldwide use it for data preparation and discovery, predictive analytics, model management and deployment, and ML to monetize data assets. SPSS Modeler is also available within IBM Cloud Pak for Data, a containerized data and AI platform that enables you to build and run predictive models anywhere — on any cloud and on premises. IBM Cloud Pak for Data as a Service enables you to run Modeler flows on the public cloud. You can try it today at no cost with no download required. Take advantage of open source-based innovation, including R or Python Empower data scientists of all skills — programmatic and visual. Explore a hybrid approach — on premises and in the public or private cloud. Start small and scale to an enterprise-wide, governed approach.",https://www.ibm.com/academic/topic/data-science?ach_id=a188a713-cd60-4241-a7ca-3fdceadac5b7 
Data Science,Software,Cognos Analytics,"Cognos Analytics on premise, helps enable you to: 1) Find answers, using AI and ML; 2) Unearth information that may not be obvious, using pattern detection; 3) Pose questions about your data and receive intelligent responses; 4) Reduce the time needed for data preparation.",https://www.ibm.com/academic/topic/data-science?ach_id=87b72350-2f28-402c-846a-064704a54427 
Data Science,Software,IBM DB2 Standard,"IBM Db2 is a family of hybrid data management products offering a complete suite of AI-empowered capabilities designed to help you manage both structured and unstructured data on premises as well as in private and public cloud environments. IBM Db2 is the cloud-native database built to power low latency transactions and real-time analytics at scale. It provides a single engine for DBAs, enterprise architects and developers to keep critical applications running, store and query anything and power faster decision making and innovation across your organization. Built on decades of innovation in data security, scalability and availability, keep your applications and analytics protected, highly performant and resilient, anywhere.",https://www.ibm.com/academic/topic/data-science?ach_id=98eae490-30d5-4d6d-bbea-b26fddbf7790 
Data Science,Software,Planning Analytics,"IBM Planning Analytics is an integrated business planning solution that combines the flexibility of spreadsheets with the power and control of a multidimensional database. Now organizations are empowered to adapt to the ever-changing market dynamics with efficient planning, accurate forecasting, and insightful scenario analysis.",https://www.ibm.com/academic/topic/data-science?ach_id=116fcd58-da74-46f1-8bb9-503033d443a6 
Data Science,Software,Elyra,"Elyra is a set of open source AI-centric extensions to Jupyter Notebooks, and, more specifically, the JupyterLab user interface. Elyra is a set of AI-centric extensions to JupyterLab Notebooks. Elyra currently includes the following functionality: Visual Pipeline Editor Ability to run a notebook, Python or R script as a batch job Reusable Code Snippets Hybrid runtime support based on Jupyter Enterprise Gateway Python and R script editors with local/remote execution capabilities Python script navigation using auto-generated Table of Contents Python script integrated debugger (Experimental) Notebook navigation using auto-generated outlines using Table of Contents Language Server Protocol integration Version control using Git integration",https://www.ibm.com/academic/topic/data-science?ach_id=cccf6298-e7fd-4fd5-acf4-db1f08d2d50c 
Automation,Courseware,IBM Process Mining Collection,"Process mining uses business system data to create and visualize an end-to-end process that includes all the process activities involved along with the various process paths. Businesses analyze the discovered process to gain actionable insights for improvement. IBM Process Mining is a process mining solution that automatically discovers, constantly monitors, and optimizes business processes. Process mining uses business system data to create and visualize an end-to-end process that includes all the process activities involved along with the various process paths. Businesses analyze the discovered process to gain actionable insights for improvement.",https://www.ibm.com/academic/topic/ibm-automation?ach_id=3e44a76c-f261-4849-8f75-8c89802be296 
Automation,Courseware,IBM Robotic Process Automation - Basic I,"This is an introductory course to IBM Robotic Process Automation. In this course, students will learn the basics of inserting commands, publishing scripts, controlling the flow of scripts, and many other RPA essentials. This course provides students with the opportunity to learn and sharpen the basic skills needed to successfully learn IBM’s Robotic Process Automation. Robotic Process Automation (RPA) is the automation of computer-centric processes using software robots that can emulate human actions in the computer. These software robots, or bots, can be attended or unattended. The processes that are candidates for automation are generally time-consuming and highly repetitive processes, that is, they follow a fixed and long flow, with predefined rules and well-determined input and output parameters. Hyperautomation is the combination of advanced technologies such as ML, AI, and process mining, in combination with RPA, to identify and automate significant processes, and also improve existing automation. ",https://www.ibm.com/academic/topic/ibm-automation?ach_id=eadb3ad7-335b-4152-b7b9-28ac8439844d 
Automation,Courseware,IBM Robotic Process Automation - Basic II,"RPA robotic process automation Basic II is a continuation of the Basic I course, where students will further their RPA skills and learn more in-depth and essential concepts for the development of the programmer within IBM RPA resources. This course covers the use of assets, parameters, and the manipulation of PDFs, data tables, and databases.",https://www.ibm.com/academic/topic/ibm-automation?ach_id=ca833692-6a84-4db4-828e-44f38b7e432a 
Automation,Courseware,Fundamentals of IBM Process Mining,"Fundamentals of IBM process mining is a collection of courses that introduces students to process mining and how it is used to perform process and data analysis. Students will learn how to evaluate a process for potential candidates for Robotic Process Automation implementation. Students will also learn advanced data preparation, transformation concepts, and how to evaluate a multi-level process for maverick buying patterns. Finally, students will learn how to create and visualize end-to-end processes that include all process activities involved along with various process paths.This course introduces you to IBM Process Mining and how to use it to perform process and data analysis. You learn the differences between process mining and task mining, the different types of process mining, use cases, and how process mining is performed. You learn how to use IBM Process Mining to import a data source, map data, and visualize a process. You learn how to plan a process mining project. You learn how to evaluate a process for potential candidates for Robotic Process Automation. You learn advanced data preparation and transformation concepts and how to evaluate a multi-level process for maverick buying patterns. You also leverage the simulation capabilities of the product to simulate a Blueworks Live BPMN process.",https://www.ibm.com/academic/topic/ibm-automation?ach_id=fe69d706-50d9-4c99-86e7-b79a91c4eefe 
Cloud,Courseware,Journey to Cloud: Envisioning Your Solution,"In the foundational course, we start by exploring the digital transformation drivers made possible by cloud technologies and services. We cover how cloud works, its capabilities, types, and delivery models (IaaS, SaaS, and PaaS). We then delve into digital transformation strategies such as Agile practices, the IBM Garage Method, and Enterprise Design Thinking in order to highlight some of the practices for helping organizations get started on their transformation journey. Lastly, we will deploy a test pilot cloud application for a fictional client using IBM Code Engine. This course has the following learning objectives. Describe the role that cloud computing plays in the digital modernization journey of organizations today. Explore the market disruptions brought by cloud adoption in the enterprise. Understand the key technical and organizational challenges of cloud adoption. Articulate the concepts, characteristics, delivery models and benefits of cloud computing. Use transformation strategies such as the IBM Garage Method and Enterprise Design Thinking to create a user empathy map  and business framing exercise. Deploy a pilot cloud application using IBM Code Engine",https://www.ibm.com/academic/topic/cloud?ach_id=c0b2b320-7cac-4b42-b5d9-10bbf2c6890e 
Cloud,Courseware,Solution tutorials,"Learn how to build, deploy and scale real-world solutions on IBM Cloud. These guides provide step-by-step instructions on how to use IBM Cloud to implement common patterns based on best practices and proven technologies.IBM Cloud CLI - the command line interface to interact with IBM Cloud API. Docker - to deliver and run software in packages called containers. kubectl - a command line interface for running commands against Kubernetes clusters. oc - manages OpenShift applications, and provides tools to interact with each component of your system. Helm 3 - helps you manage Kubernetes applications — Helm Charts help you define, install, and upgrade even the most complex Kubernetes application. Terraform - automates your resource provisioning. jq - a lightweight and flexible command-line JSON processor. Git - a free and open source distributed version control system.",https://www.ibm.com/academic/topic/cloud?ach_id=e79ecf63-74ae-4e12-b0b2-e97de8693f36 
Cloud,Courseware,IBM Cloud Associate Solution Advisor,Learners in any job role can get a first look at cloud computing and IBM Cloud. No experience needed. Learn to discuss and use cloud services with confidence. Earn your first cloud certification. ,https://www.ibm.com/academic/topic/cloud?ach_id=a8c57c17-476e-4b1d-8ee9-cebbbcf7029a 
Cloud,Courseware,IBM CloudLabs,"With IBM CloudLabs, you'll have a chance to learn how to operate Kubernetes on IBM Cloud by completing three free interactive labs, entirely through your web browser.",https://www.ibm.com/academic/topic/cloud?ach_id=9aa7bbb1-08c9-4e8f-83e5-365cfb3722ea 
